Sequence,Group,SCOP sunid
d1tdj_2,group286,55021
d1qasa1,group23,47473
d1hdmb2,group133,54452
d1a1w__,group36,47986
d1cgme_,group24,47195
d1bif_2,group211,53254
d1bif_1,group97,52540
d1poc__,group43,48619
d2cpga_,group25,47598
d1exba_,group156,51430
d2fdn__,group278,54862
d1hg3a_,group153,51351
d1ci0a_,group125,50475
d1yub__,group214,53335
d1is1a_,group144,55194
d1ezvi_,group207,81514
d1irda_,group1,46458
d1qmea4,group346,56601
d1a6f__,group250,54211
d1fpoa2,group13,47144
d1fpoa1,group2,46565
d1o4ua2,group270,54675
d1m3ya2,group208,49749
d1c20a_,group9,46774
d1m3ya1,group208,49749
d1bsma1,group5,46609
d1jxca_,group362,57095
d1bsma2,group273,54719
d3tgf__,group365,57196
d1pgs_2,group208,49742
d1pgs_1,group96,49742
d1fi2a_,group78,51182
d1im5a_,group189,52499
d1cola_,group178,56837
d1a6s__,group32,47836
d1gtma2,group210,53223
d1itpa_,group279,54897
d3btaa2,group121,50386
d3btaa1,group105,49899
d1a6m__,group1,46458
d1f9ma_,group198,52833
d1l3wa3,group82,49313
d16pk__,group231,53748
d1l3wa5,group82,49313
d1l3wa4,group82,49313
d1gzga_,group159,51569
d1euva_,group125,54001
d1o7ia_,group62,50249
d1exh__,group87,49384
d1a0aa_,group22,47459
d1l7ya_,group130,54236
d1tgoa1,group106,53098
d1o9ra_,group15,47240
d1hlra4,group329,56003
d1g99a2,group106,53067
d1g99a1,group106,53067
d1fsga_,group109,53271
d3pmga2,group230,53738
d1ezvg_,group207,81508
d1ayl_2,group405,68923
d1e7la2,group126,54060
d1e7la1,group201,68918
d4kbpa2,group171,56300
d1g5aa2,group81,51445
d1gh2a_,group101,52833
d1g5aa1,group73,51011
d1imhc2,group89,49417
d1cf9a1,group90,52317
d1iruk_,group336,56235
d1lqaa_,group156,51430
d1cixa_,group180,57059
d1igra1,group86,52058
d9wgaa2,group360,57016
d1hq8a_,group343,56436
d2hpqp_,group373,57440
d1hnna_,group111,53335
d1igra3,group363,57184
d1g2oa_,group208,53167
d2bbkh_,group72,50969
d3pmga4,group163,55957
d1fafa_,group3,46565
d1bb9__,group58,50044
d1js1x1,group224,53671
d1nwja_,group280,54909
d1in1a_,group173,52113
d1b3qa1,group20,47384
d1jj2r_,group248,54189
d1neka1,group16,46977
d1neka3,group342,56425
d1b8oa_,group107,53167
d1jsba_,group253,54285
d1mm4a_,group179,56925
d1fqta_,group57,50022
d1lrha_,group78,51182
d1g66a_,group90,52259
d1e6ca_,group97,52540
d1k28a3,group241,53955
d1e0fi_,group180,57262
d3tgl__,group114,53474
d1ljra1,group26,47616
d1n71a_,group157,55729
d1a5r__,group251,54236
d1bfg__,group63,50353
d1ez3a_,group28,47661
d1ft5a_,group45,48695
d1jyea_,group119,53822
d1gm5a2,group62,50249
d1ofua2,group147,55307
d1ofua1,group95,52490
d1ewsa_,group183,57392
d1j96a_,group156,51430
d1dzra_,group145,51182
d1aw0__,group285,55008
d1k94a_,group23,47473
d1lwha2,group157,51445
d1hn0a3,group103,49863
d1lwha1,group73,51011
d1i9ga_,group214,53335
d1hn0a4,group407,74650
d1ocrj_,group207,81419
d2ctha_,group77,48695
d1gpma3,group141,54810
d1gpma2,group181,52317
d1cex__,group90,52259
d1sbp__,group120,53850
d1i4ua_,group69,50814
d1b8da_,group1,46458
d1n6va1,group79,49265
d1fsha_,group4,46785
d1cfya_,group311,55753
d1qf5a_,group97,52540
d1coua_,group379,57567
d1gd7a_,group116,50249
d1fm4a_,group163,55961
d1p7ba2,group411,81324
d1pmla_,group373,57440
d1tbga_,group137,50978
d1iyea_,group351,56752
d1g10a_,group330,56029
d1h75a_,group101,52833
d3c2c__,group6,46626
d1qnna2,group273,54719
d1mkaa_,group136,54637
d1qnna1,group5,46609
d1gcva_,group1,46458
d1hcnb_,group187,57501
d1it2a_,group1,46458
d1rypi_,group336,56235
d1qj4a_,group114,53474
d1jiwi_,group70,50882
d1dpja_,group128,50630
d1hwma_,group340,56371
d1ciy_1,group52,49785
d1ciy_2,group75,51096
d1ciy_3,group178,56849
d1k44a_,group282,54919
d1hjxa2,group134,54556
d7pcka_,group242,54001
d1h6da2,group149,55347
d1hf8a_,group42,48473
d1fd9a_,group264,54534
d1bbza_,group108,50044
d1k9oi_,group345,56574
d1jm1a_,group57,50022
d1hyua4,group101,52833
d1iy8a_,group166,51735
d1c02a_,group14,47226
d1ijqa2,group180,57196
d1tmo_1,group130,50692
d1tmo_2,group228,53706
d1k3ya1,group26,47616
d1gpc__,group62,50249
d1keaa_,group58,48150
d1jjda_,group198,57868
d1n6ba_,group65,48264
d1mqkh_,group46,48726
d1pdkb_,group47,49401
d1j1na_,group120,53850
d1hs6a3,group152,55486
d1cmr__,group362,57095
d1itxa2,group134,54556
d1esfa2,group256,54334
d1a28a_,group72,48508
d1g6za_,group246,54160
d1axh__,group361,57059
d1b66a_,group155,55620
d1iq0a1,group28,47323
d1iq0a3,group144,55190
d1fnna2,group97,52540
d1jeha2,group167,51905
d1c9fa_,group130,54277
d1qrya_,group7,46689
d1elra_,group70,48452
d2u2fa_,group283,54928
d1qf6a3,group144,55186
d1ejxb_,group151,51278
d1m9ua_,group126,50494
d1efdn_,group235,53807
d1eova1,group62,50249
d1jjcb3,group116,50249
d1sgpi_,group186,57467
d1eova2,group309,55681
d1vin_2,group35,47954
d2ctn__,group23,47473
d1vin_1,group35,47954
d1lfja_,group76,48619
d1chua3,group174,56425
d1iapa_,group56,48097
d1lata_,group385,57716
d1bfd_1,group94,52467
d1bfd_3,group96,52518
d1bfd_2,group96,52518
d1hfel2,group278,54862
d1phm_2,group96,49742
d1qhda2,group53,49818
d1mu5a2,group129,54211
d1gh9a_,group196,57821
d1gjja1,group201,63451
d1gjja2,group201,63451
d1xnaa_,group52,49785
d1mpga1,group38,48150
d1i0da_,group158,51556
d1mpga2,group163,55945
d3dfr__,group218,53597
d1d9na_,group127,54171
d1eula1,group78,81653
d1m55a_,group151,55464
d1coza_,group92,52374
d1euoa_,group133,50814
d1jj2e2,group165,56053
d1e12a_,group410,81321
d1hxva_,group134,54534
d1keka5,group278,54862
d1ehwa_,group282,54919
d1keka1,group96,52518
d1repc2,group4,46785
d1czfa_,group143,51126
d1j99a_,group191,52540
d1fjna_,group362,57095
d1nnwa_,group171,56300
d1e32a1,group67,50692
d1dqta_,group78,48726
d2pspa2,group375,57492
d1etpa2,group6,46626
d1ispa_,group114,53474
d1fo0a_,group78,48726
d1e2ta_,group242,54001
d1ra9__,group218,53597
d1clc_2,group408,81296
d1iwea_,group191,52540
d1rpl_1,group31,81585
d1iq6a_,group136,54637
d1qg3a2,group79,49265
d1m9sa2,group58,82057
d1ld8b_,group40,48239
d1l2ma_,group151,55464
d1uaaa1,group191,52540
d1htp__,group79,51230
d1c6wa_,group361,57059
d1d66a1,group193,57701
d1b5sa_,group194,52777
d1pot__,group120,53850
d1irza_,group7,46689
d1dfna_,group183,57392
d1ixda_,group58,74924
d1hdca_,group166,51735
d1o7ja_,group233,53774
d2hrva_,group66,50494
d1f8ha_,group35,47473
d1gy7a_,group132,54427
d1mo9a2,group167,51905
d1mo9a3,group150,55424
d1qlab1,group1,46548
d1cqxa3,group182,52343
d1cqxa2,group396,63380
d1cqxa1,group1,46458
d1clc_1,group61,48208
d1b6cb_,group333,56112
d1thm__,group192,52743
d2napa2,group228,53706
d2napa1,group130,50692
d1m7xa1,group408,81296
d1a3wa3,group200,52935
d2sn3__,group180,57095
d1b9wa2,group180,57196
d1ldtl_,group374,57467
d1phza1,group286,55021
d1flca1,group53,49818
d1ljoa_,group113,50182
d1tfs__,group367,57302
d1h8ma_,group159,64356
d1gu7a2,group82,51735
d1g9oa_,group112,50156
d1kf6c_,group206,81343
d2pgd_2,group82,51735
d1el4a_,group23,47473
d1bk5a_,group42,48371
d1ckla1,group188,57535
d1h4vb1,group104,52954
d1irdb_,group1,46458
d1ckla2,group377,57535
d1n55a_,group153,51351
